Direction,Group,ID,Army,Number of Records,X,Y
Advance,1,1,422000,1,86.8,548.1
Advance,1,2,422000,1,211.6,585.8
Advance,1,3,422000,1,222.1191839,414.1917591
Advance,1,4,422000,1,137.2,391.4
Advance,2,1,22000,1,217,712.5
Advance,2,2,22000,1,227.6,712.5
Advance,2,3,22000,1,225.1,572.5
Advance,2,4,22000,1,211.6,585.8
Advance,3,1,400000,1,211.6,585.8
Advance,3,2,400000,1,226.2,571.1
Advance,3,3,400000,1,351.6,551.2
Advance,3,4,400000,1,363.6,533.9
Advance,3,5,400000,1,351.6,398.1
Advance,3,6,400000,1,222.1191839,414.1917591
Advance,4,1,60000,1,351.6,551.2
Advance,4,2,60000,1,363.6,533.9
Advance,4,3,60000,1,522.6,660.2
Advance,4,4,60000,1,629.6,647
Advance,4,5,60000,1,630.7,664.9
Advance,4,6,60000,1,510.9,678.7
Advance,5,1,33000,1,630.7,664.9
Advance,5,2,33000,1,799,645.6
Advance,5,3,33000,1,801.7,633.4
Advance,5,4,33000,1,629.8,650.8
Advance,6,1,340000,1,363.6,533.9
Advance,6,2,340000,1,463.1,560.4
Advance,6,3,340000,1,495.9,435.5
Advance,6,4,340000,1,361.2,398.6
Advance,6,5,340000,1,351.6,398.1
Advance,7,1,312500,1,464.2,556.2
Advance,7,2,312500,1,556.9,582.6
Advance,7,3,312500,1,592.3,467
Advance,7,4,312500,1,495,439.4
Advance,8,1,285000,1,557.8,578.4
Advance,8,2,285000,1,647.7,602.6
Advance,8,3,285000,1,667.1,604
Advance,8,4,285000,1,679.3,493.6
Advance,8,5,285000,1,661.1,491.8
Advance,8,6,285000,1,590.7,471.5
Advance,9,1,257500,1,667.5,600
Advance,9,2,257500,1,769.8,609.5
Advance,9,3,257500,1,782.5,510.6
Advance,9,4,257500,1,678.6,498.9
Advance,10,1,230000,1,770.1,604
Advance,10,2,230000,1,851.6,612.5
Advance,10,3,230000,1,863.1,527.7
Advance,10,4,230000,1,781.4,517.6
Advance,11,1,202500,1,852.1,607.2
Advance,11,2,202500,1,943.5,617.1
Advance,11,3,202500,1,953.3,542.2
Advance,11,4,202500,1,862.2,532
Advance,12,1,175000,1,943.5,614.5
Advance,12,2,175000,1,974.2,617.3
Advance,12,3,175000,1,1198.4,535
Advance,12,4,175000,1,1204.2,462.3
Advance,12,5,175000,1,967.1,549.7
Advance,12,6,175000,1,952.5,547.8
Advance,13,1,145000,1,1198.4,535
Advance,13,2,145000,1,1400,605.8
Advance,13,3,145000,1,1410,537.2
Advance,13,4,145000,1,1204.2,462.3
Advance,14,1,127100,1,1400,605.8
Advance,14,2,127100,1,1581.4,775.32
Advance,14,3,127100,1,1600.02,715.28
Advance,14,4,127100,1,1410,537.2
Advance,15,1,127100,1,1581.4,775.32
Advance,15,2,127100,1,1701.88,741.24
Advance,15,3,127100,1,1684.38,693.23
Advance,15,4,127100,1,1600.02,715.28
Advance,16,1,100000,1,1698.45,733.34
Advance,16,2,100000,1,1729.25,723.76
Advance,16,3,100000,1,1920.17,817.74
Advance,16,4,100000,1,1937.41,786.12
Advance,16,5,100000,1,1732.58,679.76
Advance,16,6,100000,1,1684.38,693.23
Retreat,17,1,100000,1,1937.41,786.12
Retreat,17,2,100000,1,1956.7,751.53
Retreat,17,3,100000,1,1938.64,743.63
Retreat,17,4,100000,1,1928.89,614.53
Retreat,17,5,100000,1,1894.2,634.61
Retreat,17,6,100000,1,1902.07,767.84
Retreat,18,1,96000,1,1894.2,634.61
Retreat,18,2,96000,1,1928.89,614.53
Retreat,18,3,96000,1,1880.22,590.61
Retreat,18,4,96000,1,1682.91,640.46
Retreat,18,5,96000,1,1684.09,676.15
Retreat,18,6,96000,1,1877.76,627.61
Retreat,19,1,87000,1,1684.09,676.15
Retreat,19,2,87000,1,1682.91,640.46
Retreat,19,3,87000,1,1553.91,579.13
Retreat,19,4,87000,1,1540.56,607.83
Retreat,20,1,55000,1,1549.75,588.71
Retreat,20,2,55000,1,1419.24,510.66
Retreat,20,3,55000,1,1408.33,530.36
Retreat,20,4,55000,1,1417.34,534.26
Retreat,20,5,55000,1,1540.56,607.83
Retreat,21,1,37000,1,1415.55,517.55
Retreat,21,2,37000,1,1234.77,451.36
Retreat,21,3,37000,1,1231.75,465.05
Retreat,21,4,37000,1,1408.33,530.36
Retreat,22,1,24000,1,1233.93,455.59
Retreat,22,2,24000,1,1038.44,415
Retreat,22,3,24000,1,1034.62,417.06
Retreat,22,4,24000,1,1034.7,425.39
Retreat,22,5,24000,1,1231.75,465.05
Retreat,23,1,20000,1,1034.62,417.06
Retreat,23,2,20000,1,886.86,351.99
Retreat,23,3,20000,1,884.09,359.63
Retreat,23,4,20000,1,1034.7,425.39
Retreat,24,1,30000,1,801.7,633.4
Retreat,24,2,30000,1,790.51,634.77
Retreat,24,3,30000,1,872.3,359.48
Retreat,24,4,30000,1,884.09,359.63
Retreat,25,1,50000,1,884.09,359.63
Retreat,25,2,50000,1,889.18,346.94
Retreat,25,3,50000,1,790.36,317.67
Retreat,25,4,50000,1,763.67,320.7
Retreat,25,5,50000,1,763.45,339.27
Retreat,25,6,50000,1,786.67,336.68
Retreat,25,7,50000,1,872.3,359.48
Retreat,26,1,26000,1,763.69,329.23
Retreat,26,2,26000,1,638.52,401.58
Retreat,26,3,26000,1,640.14,409.68
Retreat,26,4,26000,1,763.45,339.27
Retreat,27,1,19000,1,640.14,409.68
Retreat,27,2,19000,1,638.52,401.58
Retreat,27,3,19000,1,564.85,361.73
Retreat,27,4,19000,1,564.64,366.48
Retreat,28,1,12000,1,564.64,366.48
Retreat,28,2,12000,1,564.85,361.73
Retreat,28,3,12000,1,494.85,382.47
Retreat,28,4,12000,1,495.61,387.65
Retreat,29,1,8000,1,495.61,387.65
Retreat,29,2,8000,1,494.85,382.47
Retreat,29,3,8000,1,322.75,392.42
Retreat,29,4,8000,1,254.55,388.99
Retreat,29,5,8000,1,253.36,394.39
Retreat,29,6,8000,1,322.73,397.09
Retreat,30,1,4000,1,253.36,394.39
Retreat,30,2,4000,1,254.55,388.99
Retreat,30,3,4000,1,185.04,388.34
Retreat,30,4,4000,1,185.68,391.74
Retreat,31,1,6000,1,185.04,388.34
Retreat,31,2,6000,1,181.89,391.43
Retreat,31,3,6000,1,208.22,717.94
Retreat,31,4,6000,1,211.61,718.46
Retreat,31,5,6000,1,185.68,391.74
Retreat,32,1,10000,1,181.89,391.43
Retreat,32,2,10000,1,185.04,388.34
Retreat,32,3,10000,1,185.7,385.6
Retreat,32,4,10000,1,137.28,383
Retreat,32,5,10000,1,137.28,388.73